block_timestamp,from_address,to_address,value,from_address_type,to_address_type
2021-09-24 03:00:06+00:00,0x9b1acd4336ebf7656f49224d14a892566fd48e68,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.385,EOA,Contract
2021-09-24 03:00:06+00:00,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0x929387a1192b16ebafcb6cee624e1fdaf395eba6,2.25688511,EOA,EOA
2021-09-24 03:00:06+00:00,0x340d693ed55d7ba167d184ea76ea2fd092a35bdc,0xcde00763d441a2023114cba3a3180ea440f7b683,1.6301761657984926,EOA,EOA
2021-09-24 03:00:06+00:00,0xc8a2b3858c56371779e93682515be910490f1035,0xe592427a0aece92de3edee1f18e0157c05861564,6.94660543482523,EOA,Contract
2021-09-24 03:00:06+00:00,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x3ba0e1381a908eed05bec748d09e304c26815858,0.34714572,EOA,Contract
2021-09-24 03:00:06+00:00,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,0x8a17e7b84ec06312f96045247ecd4dbc006ed145,48.0956508,EOA,EOA
2021-09-24 03:00:06+00:00,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,0x4e0ad46c19b93aa8f02fa91d823943bb61a5c5f0,36.17881652,EOA,EOA
2021-09-24 03:00:06+00:00,0x2ecc650e73d984db98c2d239108d2931bdab7028,0xe592427a0aece92de3edee1f18e0157c05861564,6.45909,EOA,Contract
2021-09-24 03:00:06+00:00,0xe8d604527f6ce050ba012e180f5b492820682575,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.902989,EOA,Contract
2021-09-24 03:00:06+00:00,0xe66845fd840fc7e489bcb61241fff5b7fc5f1f0e,0x2602669a92fccf44e5319ff51b0f453aab9db021,0.6,EOA,Contract
2021-09-24 03:00:06+00:00,0x5abcdc6449c956fb6c2ea0d8aa4ed1a3435de3c6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.4,EOA,Contract
2021-09-24 03:00:06+00:00,0x1de989ddf4e3785a91d7545f6873af9e61c47dff,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,2.0,EOA,Contract
2021-09-24 03:00:06+00:00,0x7ca900709d06e36771d96a83750b272c74b1b176,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2.4,EOA,Contract
2021-09-24 03:00:06+00:00,0x45e06b7af7d0062a128eb51be8c92e31639c2bec,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,4.78717712,EOA,EOA
2021-09-24 03:00:06+00:00,0x46340b20830761efd32832a74d7169b29feb9758,0x3e0b315ec81dbcd9c3e8ce7e583a0581b1177245,2.992,EOA,EOA
2021-09-24 03:00:06+00:00,0x40c73ed31c5b6e97d3f3e5a3ad86a2e4abb07347,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,33.0,EOA,Contract
2021-09-24 03:00:06+00:00,0x3c979fb790c86e361738ed17588c1e8b4c4cc49a,0x7ca898cbbed67df0b4e249b05561d3a23404eed0,5.85007,EOA,Contract
2021-09-24 03:00:06+00:00,0xb68468e48bf7263797ad9e1d50884def7a4f8e74,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.4,EOA,Contract
2021-09-24 03:00:06+00:00,0x3238934316238ebbda1ffb229ec9a37bf66c5564,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,1.0,EOA,Contract
2021-09-24 03:00:06+00:00,0x1814b539694ae511cc53b963196888a541771af2,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,1.197774,EOA,EOA
2021-09-24 03:00:06+00:00,0x480ebe8e8289d93c28f22919b69441b2c24485f0,0xf60c2ea62edbfe808163751dd0d8693dcb30019c,1.3139010765857846,EOA,EOA
2021-09-24 03:00:34+00:00,0xfc9e2cf27dad13b149dd476eeed2b46e061a1a6d,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2.15,EOA,Contract
2021-09-24 03:00:34+00:00,0xfb4e5c6eff4207041a5f44f66df7200d54f002d2,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,10.140798855,EOA,EOA
2021-09-24 03:00:34+00:00,0x275d99e0bae1547a70cf3eaebc250aebbe6924c9,0xefb2e870b14d7e555a31b392541acf002dae6ae9,1.79847560388858,EOA,EOA
2021-09-24 03:00:34+00:00,0x61c371ba956c7f2fbe0913843de98c5e55be8ee7,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.65,EOA,Contract
2021-09-24 03:00:34+00:00,0x398fdefe7cb1894195039f05366783e5f2b2bf1c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2.509902298226269,EOA,Contract
2021-09-24 03:00:34+00:00,0x70d101d2bec8eeb624592b0c409aead98f751c7a,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,2.99,EOA,Contract
2021-09-24 03:00:34+00:00,0x1152c7dd8cafaf2e17ba94d21cf4149d22f29bb8,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.475,EOA,Contract
2021-09-24 03:00:39+00:00,0xa494eaadc6b7940a6db852dc54b2fe5fa15ca624,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.388,EOA,Contract
2021-09-24 03:00:39+00:00,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,0x8986057cd6d0b18d9e20dde511664b9efa2a3413,2.016,EOA,EOA
2021-09-24 03:00:39+00:00,0xe74837d5b8aec436cc1afb37ad6f96788c27a920,0x881d40237659c251811cec9c364ef91dc08d300c,0.5,EOA,Contract
2021-09-24 03:00:39+00:00,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0x19a75925658f6c41bcc4b07413fa1db71fd845af,3.20892209,EOA,EOA
2021-09-24 03:00:39+00:00,0x1529d2e640f7febd3e9dc40728cac060a2739d70,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1.0,EOA,Contract
2021-09-24 03:00:39+00:00,0x22f00d297ffb5bffd56e23ef2facb8de8d3fef26,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.49,EOA,Contract
2021-09-24 03:00:39+00:00,0xb6a02c51e89a3061dc4e7150526634be3ea98531,0xf47349e44b027477320304943eb6fb6dc15871ff,2.261291760717778,EOA,EOA
2021-09-24 03:00:39+00:00,0xc55989ab404417b6bea6cd38af779fb017c62f0e,0xe592427a0aece92de3edee1f18e0157c05861564,10.558714096408998,EOA,Contract
2021-09-24 03:00:39+00:00,0x20ba96808959ab8f15b5948ec3c239598c8eb8f0,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.388,EOA,Contract
2021-09-24 03:00:39+00:00,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0xc9ed866a8cbf0ba2f9f3c28d9a899afe9cc1bb43,2.414182033777092,EOA,EOA
2021-09-24 03:00:39+00:00,0xea674fdde714fd979de3edf0f56aa9716b898ec8,0x7a9ecb1fbaab74acd942eb465c5a717df0694045,1.204593768897523,EOA,EOA
2021-09-24 03:00:39+00:00,0xa41487b4a93348a22edd861f7d52943b955b6d8d,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2.4972135010030603,EOA,Contract
2021-09-24 03:00:39+00:00,0xfbdcc162a5eb3b064221ebf8ee2f1f603426ee24,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.345,EOA,Contract
2021-09-24 03:00:39+00:00,0x2329df09afb853863b28cd0ac417d0820001d3ff,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,0.9075366070276482,EOA,Contract
2021-09-24 03:00:47+00:00,0x207524183c21bc77b074cdb4c6e31fcc0b0416c9,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.499,EOA,Contract
2021-09-24 03:00:47+00:00,0x8f1e74470d789bf6a7f551dfb61dd0851a133753,0x28c6c06298d514db089934071355e5743bf21d60,9.018425,EOA,EOA
2021-09-24 03:00:47+00:00,0x33ecb658906adea11bd8d7323e9122cae27a811d,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,1.03850057,EOA,EOA
2021-09-24 03:00:47+00:00,0xa87a695fcac6b8012a8f87829e0b132f114e6671,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.4,EOA,Contract
2021-09-24 03:00:47+00:00,0x389044f3ac7472060a0618116e3624a5f0f20f28,0xfc4ecf043c7e979e56a7724b382a8e77f33ad44a,3.0121833532714213,EOA,EOA
2021-09-24 03:00:50+00:00,0xc2f79e508cee14f99b6d30ea3dfd71b5d5423621,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,6.0,EOA,Contract
2021-09-24 03:00:50+00:00,0x8115a772491be30fcd4b00af6182b78263607128,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,2.0,EOA,Contract
2021-09-24 03:00:50+00:00,0x99d8d9a3c90b94b8a09c9292615e086b22ef4fd5,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.388,EOA,Contract
2021-09-24 03:00:50+00:00,0x26f4f30191caf0e0a35bf3e272d172cc529d516e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.39,EOA,Contract
2021-09-24 03:00:50+00:00,0x851ad0f13371f634840d3be57fbd7d64df90b82a,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.388,EOA,Contract
2021-09-24 03:00:50+00:00,0xd8a9357940494166e0f665bece75f57411ff1bcd,0xc36442b4a4522e871399cd717abdd847ab11fe88,4.900969071904402,EOA,Contract
2021-09-24 03:00:50+00:00,0x14a2f73d379720e1ef05da930dcad6fb48d4573a,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,5.0,EOA,Contract
2021-09-24 03:00:50+00:00,0xf21f3eeca755b5d16cda8eaab970e44ff3897f00,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.38,EOA,Contract
2021-09-24 03:00:50+00:00,0x6fcec5d08f585fba9e08d188031b5b97730908c3,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,1.0,EOA,Contract
2021-09-24 03:00:50+00:00,0x78d6ba5786ef3539925faba10784888c411ccafc,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,0.6,EOA,Contract
2021-09-24 03:00:50+00:00,0x20ec02894d748c59c01b6bf08fe283d7bb75a5d2,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1.0,EOA,Contract
2021-09-24 03:00:50+00:00,0xac7555c5562e79dc63277d0d89612216d7f9f08a,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,2.0,EOA,Contract
2021-09-24 03:00:50+00:00,0xcac63321e20f7a4cec24fe82384b4babb6ad8549,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.8820937317779713,EOA,Contract
2021-09-24 03:00:50+00:00,0xa234ab3cb2a67749d6b7421d09769da1d645d508,0x28c6c06298d514db089934071355e5743bf21d60,1.298824,EOA,EOA
2021-09-24 03:00:50+00:00,0xb287f5715861c842d2d0531bad2592d2314ce74a,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.7676,EOA,Contract
2021-09-24 03:00:50+00:00,0x6109e0f11aec40f1aab2a42191721fd59c4155c6,0x28c6c06298d514db089934071355e5743bf21d60,1.361091,EOA,EOA
2021-09-24 03:00:50+00:00,0xae7861c80d03826837a50b45aecf11ec677f6586,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3.8087924779434896,EOA,Contract
2021-09-24 03:00:50+00:00,0xbd5b208760306cfa145d9b93460d5d99885e1d83,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0.75,EOA,Contract
2021-09-24 03:00:50+00:00,0x3cd751e6b0078be393132286c442345e5dc49699,0x6c5929ed6cb378fb945de889413878444c7afe76,2.9,EOA,EOA
2021-09-24 03:00:50+00:00,0xcebe7229b3302d74e571dca3ddb7c181675dc9c9,0x9acbb72cf67103a30333a32cd203459c6a9c3311,1.053962054488918,EOA,EOA
2021-09-24 03:00:50+00:00,0x8935b897931f6f2a3a84cbaeddf805eb93cea779,0xeb95c01ab5c47c7d9f3da2cfc2262ffba9a5d3aa,3.6,EOA,EOA
2021-09-24 03:00:50+00:00,0x239d6a3fbaeb8f020330c28c8273f1f134e260b1,0xc9610be2843f1618edfedd0860dc43551c727061,1.27949458,EOA,EOA
2021-09-24 03:00:50+00:00,0x4b2865ee7da6996a0c22e2c6a84eacf7ec0d2e38,0x31d8967dced650eaeac987aa6d446b71dd83bea3,9.0,EOA,EOA
2021-09-24 03:00:50+00:00,0xeffb2dd0e4bf0a80facf1636605053c94056b2ae,0x27e9f4748a2eb776be193a1f7dec2bb6daafe9cf,1.39548639,EOA,EOA
2021-09-24 03:00:50+00:00,0x3cd751e6b0078be393132286c442345e5dc49699,0x0289eaca94bc3d1599065e332c117c19a0f5440b,2.0,EOA,EOA
2021-09-24 03:00:50+00:00,0x61d41f48076a40d37b424b2ee4072436986aa797,0x9acbb72cf67103a30333a32cd203459c6a9c3311,11.999076,EOA,EOA
2021-09-24 03:00:50+00:00,0x2d23b731e5f04996a2dfdbe434c7d922afdb5e00,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1.11,EOA,Contract
2021-09-24 03:00:50+00:00,0xc2589642c91d411877f8214cd057eba4325c96ba,0x9acbb72cf67103a30333a32cd203459c6a9c3311,1.3281840465049881,EOA,EOA
2021-09-24 03:00:50+00:00,0xeb6c4be4b92a52e969f4bf405025d997703d5383,0xb8b8fce56040c4b48aa626cc3db0f2ea2b6185d1,2.3342,EOA,EOA
2021-09-24 03:00:50+00:00,0x500b756a6fd5ab96ea4addfef29c212143de5372,0x28c6c06298d514db089934071355e5743bf21d60,1.404024,EOA,EOA
2021-09-24 03:00:50+00:00,0x61715b4962989f20c6af6d1b14b3502c33eeb882,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,1.613,EOA,Contract
2021-09-24 03:00:50+00:00,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xe07150c1766636bda08ea509525d977f8dc04725,1.03026633,EOA,EOA
2021-09-24 03:00:50+00:00,0x4f52b520ce7b75ce0f39247f4da5342bcf2a3214,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,1.86,EOA,Contract
2021-09-24 03:00:50+00:00,0x61b7b515c1ec603cf21463bcac992b60fd610ca9,0x28c6c06298d514db089934071355e5743bf21d60,2.015519,EOA,EOA
2021-09-24 03:00:50+00:00,0x33af978940381913ef81ea10b6f42d2be1fc0e71,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,0.49,EOA,Contract
2021-09-24 03:00:50+00:00,0x89cbae4821b6122265c3049480276767e2d8836b,0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,1.07300448,EOA,EOA
2021-09-24 03:01:12+00:00,0x88ffb3edf7ba0b31044f7fbb9a9e9d64854f0e15,0x8438fbb328fd07da20903e512ebf76881b9eebab,2.0,EOA,EOA
2021-09-24 03:01:12+00:00,0xd24400ae8bfebb18ca49be86258a3c749cf46853,0xb82c013a3b1917dd83c3f4d35f378dbbaf68272d,2.60817562,EOA,EOA
2021-09-24 03:01:12+00:00,0x275ff94cbfa02b8bb720c525d881cfd57cd8ee1b,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,7.5,EOA,Contract
2021-09-24 03:01:12+00:00,0xd0cef314f9e729b269658544fe6c4068b2c8b4c6,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,10.0,EOA,Contract
2021-09-24 03:01:12+00:00,0x6dd396a67921a6468bfdd3293bfba1f8905cdbde,0xe592427a0aece92de3edee1f18e0157c05861564,2.2,EOA,Contract
2021-09-24 03:01:12+00:00,0x2991b1dfdf4258472acde8c316faa313c50e760c,0xb9011fcc0ac935f4ebccdda7e5dbc6a2364e2ad7,1.4,EOA,EOA
2021-09-24 03:01:12+00:00,0xfc8652e6fb8103a173aed7fc573ec336df45ea2e,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1.5,EOA,Contract
2021-09-24 03:01:12+00:00,0xf5f8977348f592db9773c373fef5be362d103776,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0.45501416522575144,EOA,Contract
2021-09-24 03:01:12+00:00,0x0708f87a089a91c65d48721aa941084648562287,0x2790d16bfbea6676605a43a922505943371dbcc5,10.0,EOA,EOA
2021-09-24 03:01:12+00:00,0xa07f91bd7515016d67ec8b33d2ae381012751492,0x28c6c06298d514db089934071355e5743bf21d60,1.216241,EOA,EOA
2021-09-24 03:01:12+00:00,0x54f1ad1db43e6019cffd10cdee37fe9f897bb18b,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,1.69,EOA,Contract
2021-09-24 03:01:12+00:00,0x2cab4804d081c50a5aba20e1431f88c6f20baee6,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,2.03,EOA,Contract
2021-09-24 03:01:12+00:00,0xc1dd185002bdcc800625d00565e766926fdad2ff,0x28c6c06298d514db089934071355e5743bf21d60,1.1,EOA,EOA
2021-09-24 03:01:12+00:00,0xbd1f83323f0ac6fc60407d3c6287b7c82c56a6fa,0x27e9f4748a2eb776be193a1f7dec2bb6daafe9cf,1.64592328,EOA,EOA
2021-09-24 03:01:12+00:00,0xf3cccaf934c98722389f6890536a9ff3e7ebae01,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0.5,EOA,Contract
2021-09-24 03:01:12+00:00,0x65783e755d1ce377e968bca084d1b61a0d4c9993,0x0b7579dc3ebd8d99ab514310941a1cf67b7d2e42,50.0,EOA,EOA
2021-09-24 03:01:12+00:00,0xd4b63bdd7884c733e3a49f9b9df9d24953c42f20,0x3c979fb790c86e361738ed17588c1e8b4c4cc49a,2.83841042,EOA,EOA
2021-09-24 03:01:12+00:00,0x19c82eb2be3926f02e63d4684bf78afafadb658a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,EOA,Contract
2021-09-24 03:01:12+00:00,0x007800bffc1c88edbcd21835a71d17a7a87ba42d,0xe592427a0aece92de3edee1f18e0157c05861564,2.5,EOA,Contract
2021-09-24 03:01:12+00:00,0x5a0b54d5dc17e0aadc383d2db43b0a0d3e029c4c,0x8fd00f170fdf3772c5ebdcd90bf257316c69ba45,61.24772999709398,EOA,EOA
2021-09-24 03:01:12+00:00,0xa5910527e5c7574ee251238a3808d035e002cabf,0xe592427a0aece92de3edee1f18e0157c05861564,1.0,EOA,Contract
2021-09-24 03:01:12+00:00,0x2f77daee392b7870f6087b57f2e7f1568785f168,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.0,EOA,Contract
2021-09-24 03:01:25+00:00,0x3eabbe5cd8eb81ad564576892e90781087fd769d,0x175ed40cd67548bbdabd48d4a8d37d2905da9294,1.53679174,EOA,EOA
2021-09-24 03:01:25+00:00,0xcd424075c61de9298e02277d8ba1bfb384e0b47c,0x881d40237659c251811cec9c364ef91dc08d300c,1.0,EOA,Contract
2021-09-24 03:01:25+00:00,0x6051d7e9572768faa5d2264d2106541e90bb17d9,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.49,EOA,Contract
2021-09-24 03:01:25+00:00,0x1a882862ff1d50f42d5876e1711c281d58110d7c,0xa58f22e0766b3764376c92915ba545d583c19dbc,1.0,EOA,Contract
2021-09-24 03:01:25+00:00,0x75d4bdbf6593ed463e9625694272a0ff9a6d346f,0x722122df12d4e14e13ac3b6895a86e84145b6967,10.0,EOA,Contract
2021-09-24 03:01:28+00:00,0x56f4d32e3523c56b0ef5021188aef35b1317c4b4,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,0.73,EOA,Contract
2021-09-24 03:01:28+00:00,0xcde00763d441a2023114cba3a3180ea440f7b683,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,1.6284751657984926,EOA,EOA
2021-09-24 03:01:28+00:00,0x76e3fa4ad272298048cdf6f865a8c58887d220ce,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,1.5,EOA,Contract
2021-09-24 03:01:28+00:00,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,0xbd51ead9b9c0640701ccd3fedaaf59a5a53b45be,4.5,EOA,EOA
2021-09-24 03:01:28+00:00,0x794d28ac31bcb136294761a556b68d2634094153,0xe5782724e87bcd5a1f48737ff6cfeaf875ab5873,299.9771,EOA,EOA
2021-09-24 03:01:28+00:00,0x485aa6355923e7188ed597d9b446fb11102aff82,0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,5.364662162615425,EOA,EOA
2021-09-24 03:01:28+00:00,0xac971d8554e0b25c8372e51fa75a6953cf2a470d,0xf21411248b0c24e5224c2d7f9757ca6373ddadee,3.870752306,EOA,EOA
2021-09-24 03:01:28+00:00,0x0289eaca94bc3d1599065e332c117c19a0f5440b,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,1.998299,EOA,EOA
2021-09-24 03:01:28+00:00,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,0x777e7bfa92cec491ba9908fbaba3714b88ed4da5,5.36913,EOA,EOA
2021-09-24 03:01:28+00:00,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x2edbcbb587689bef60cfce8b7bae5fac978e1636,2.5810525,EOA,EOA
