block_timestamp,from_address,to_address,value,from_address_type,to_address_type
2021-09-24 03:31:04+00:00,0xe5782724e87bcd5a1f48737ff6cfeaf875ab5873,0x28c6c06298d514db089934071355e5743bf21d60,299.974238711,EOA,EOA
2021-09-24 03:31:04+00:00,0x94c731f76b87fa5ea934230ef0f0dd984ba45453,0x28c6c06298d514db089934071355e5743bf21d60,199.996556,EOA,EOA
2021-09-24 03:31:04+00:00,0x6ae68156ed97fbf8ad19dbef7fb73c382440cd6c,0xb275483694d627242e77b95630168da4aec5da83,192.7624408623868,EOA,EOA
2021-09-24 03:31:47+00:00,0x6a8b40fb25a90a09151453aa79d569a7279f1ff6,0x7be8076f4ea4a4ad08075c2508e481d6c946d12b,37.5,EOA,Contract
2021-09-24 03:35:34+00:00,0xcb6bdd98c4c0aa166a3454b84cdcce8f6f5c3c94,0xdc24316b9ae028f1497c275eb9192a3ea0f67022,150.0,EOA,Contract
2021-09-24 03:37:40+00:00,0x83a52c84f0d3ab541b8ccb3233e1c994f760226f,0x5df15f42500aea8d1689241ce347317f7590d19d,3400.0,EOA,EOA
2021-09-24 03:38:27+00:00,0xae7861c80d03826837a50b45aecf11ec677f6586,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,32.0,EOA,Contract
2021-09-24 03:39:15+00:00,0x3dc8df7bde6883b65d0203465fbff8a33d5c8a9e,0xa2569370a9d4841c9a62fc51269110f2eb7e0171,34.45,EOA,Contract
2021-09-24 03:40:09+00:00,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xedc7001e99a37c3d23b5f7974f837387e09f9c93,713.999,EOA,EOA
2021-09-24 03:40:37+00:00,0xd8a4f14f9f988608b67383897348c7e1125223e9,0xeadef29259b794a8c0476a30112338b2eaf23a25,600.4402322893271,EOA,EOA
2021-09-24 03:43:05+00:00,0xedc7001e99a37c3d23b5f7974f837387e09f9c93,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,713.9984449369188,EOA,EOA
2021-09-24 03:46:16+00:00,0x7fe02ca835b711928505ea6725ccca6dce6db9e7,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,50.0,EOA,Contract
2021-09-24 03:46:41+00:00,0x0b90ba95a2f87eddce1432f1d176266f65a41b1d,0xeb948a23f8b7e32701321ecc2b06b7939f7277eb,470.83,EOA,EOA
2021-09-24 03:48:09+00:00,0xa748821d7476dc8dce2bcfed60c332560a3196b9,0x30093f4c35626a182f179496ffbf6da6a2ce47f2,150.0,EOA,EOA
2021-09-24 03:49:03+00:00,0x651e3636bc5011e58db3ba8026ad20173a8f3eed,0x1a2a1c938ce3ec39b6d47113c7955baa9dd454f2,32.5,EOA,Contract
2021-09-24 03:49:21+00:00,0xbaed383ede0e5d9d72430661f3285daa77e9439f,0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,40.73626197352515,EOA,Contract
2021-09-24 03:50:25+00:00,0x76c9e5fd2f7dcce61dadec5000b74fc0dff88a42,0x1f0bc04782a5e94be2ca2e041da9e3689976e490,160.418957674,EOA,EOA
2021-09-24 03:51:28+00:00,0x40b62a281a9a32bda51433a827236f7c9cbf3e6c,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,48.0,EOA,Contract
2021-09-24 03:51:32+00:00,0xead5b7d86c681c036c59cd00a0390541061c69f2,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,44.7,EOA,Contract
2021-09-24 03:51:55+00:00,0x1262d7470ce687d5d7eb89db15f5c8a183b3eaa2,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,108.0,EOA,Contract
2021-09-24 03:52:04+00:00,0xa7efae728d2936e78bda97dc267687568dd593f3,0xd971aaa92648db32d5975e172ff3b7936f43892f,450.0,EOA,EOA
2021-09-24 03:52:04+00:00,0x53e362f2a9943f58ea71555ae9c9623f25076b97,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,31.404780249214394,EOA,Contract
2021-09-24 03:52:15+00:00,0x6d790d9e11e8bf869cb4c8d800f5fe57d94fb8e7,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,114.9,EOA,Contract
2021-09-24 03:52:18+00:00,0xa7efae728d2936e78bda97dc267687568dd593f3,0x4aa710ac0ce042ae3395dfd08ad079259eae669e,200.0,EOA,EOA
2021-09-24 03:52:23+00:00,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0x0000f079e68bbcc79ab9600ace786b0a4db1c83c,2806.999,EOA,EOA
2021-09-24 03:52:23+00:00,0xd971aaa92648db32d5975e172ff3b7936f43892f,0xfa52274dd61e1643d2205169732f29114bc240b3,449.99795998726603,EOA,Contract
2021-09-24 03:53:47+00:00,0x0000f079e68bbcc79ab9600ace786b0a4db1c83c,0x0000006daea1723962647b7e189d311d757fb793,2807.0000000000005,EOA,Contract
2021-09-24 03:54:33+00:00,0x4ad64983349c49defe8d7a4686202d24b25d0ce8,0xe5782724e87bcd5a1f48737ff6cfeaf875ab5873,299.806,EOA,EOA
2021-09-24 03:55:04+00:00,0x4aa710ac0ce042ae3395dfd08ad079259eae669e,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,199.998824,EOA,EOA
2021-09-24 03:55:04+00:00,0xc803698a4be31f0b9035b6eba17623698f3e2f82,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,100.0,EOA,Contract
2021-09-24 03:55:04+00:00,0x0c498804369755445fd0ba755bbbdcff2d3ff34e,0x11111112542d85b3ef69ae05771c2dccff4faa26,88.0,EOA,Contract
2021-09-24 03:55:04+00:00,0x22e6cdddcaa4c7f188c5e9c9be63f955186ffcd1,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,40.49782023925767,EOA,Contract
2021-09-24 03:55:04+00:00,0xa7efae728d2936e78bda97dc267687568dd593f3,0x8cc1b5a7e43d6196660846e1c66e9c92fad6b9f8,200.0,EOA,Contract
2021-09-24 03:57:05+00:00,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x95a0b44b16231852fa54ece6e55acb8ef2885854,124.995,EOA,Contract
2021-09-24 03:58:44+00:00,0x848d47d6a68fc0ce61e234257fa7024c59d331dc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,48.22050654983353,EOA,Contract
2021-09-24 03:58:44+00:00,0x53e362f2a9943f58ea71555ae9c9623f25076b97,0x3993d34e7e99abf6b6f367309975d1360222d446,31.0,EOA,Contract
2021-09-24 03:58:44+00:00,0x26bd6506047df127bb744049fe0e30d4ae18de2f,0x881d40237659c251811cec9c364ef91dc08d300c,46.4,EOA,Contract
2021-09-24 03:59:46+00:00,0xa4d0add0058d26916b6e449f9375e9af8f6c1eb4,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,108.0,EOA,Contract
2021-09-24 03:59:48+00:00,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,0x3993d34e7e99abf6b6f367309975d1360222d446,44.90889758,EOA,Contract
